Regulator	Interaction	Target	Weight
AT4G17230	regulates	AT4G20860	0.398802625788776
AT3G57920	regulates	AT4G21200	0.349709444681952
AT4G17230	regulates	AT4G21840	0.415319358327457
AT5G11260	regulates	AT4G24150	0.357011386723244
AT4G17230	regulates	AT4G24380	0.42008228928477
AT3G57920	regulates	AT4G24570	0.811636434426173
AT3G57920	regulates	AT4G25470	0.337296959502115
AT3G57920	regulates	AT4G25480	0.225358804220338
AT3G57920	regulates	AT4G27652	0.350324822740206
AT5G11260	regulates	AT4G27657	0.284784832573828
AT4G17230	regulates	AT4G31800	0.471235956224004
AT5G11260	regulates	AT4G33280	0.343362324323123
AT4G17230	regulates	AT4G35660	0.524189264988227
AT3G57920	regulates	AT5G01040	0.325886957024079
AT5G11260	regulates	AT5G01100	0.331651731143735
AT4G17230	regulates	AT5G05410	0.380626478390711
AT4G17230	regulates	AT5G11260	0.344610259030895
AT4G17230	regulates	AT5G12340	0.262497617698
AT3G57920	regulates	AT5G15130	0.381004988318481
AT3G57920	regulates	AT5G18670	0.546958627041011
AT4G17230	regulates	AT5G20150	0.432493552117241
AT4G17230	regulates	AT5G22250	0.264614246882098
AT3G57920	regulates	AT5G24590	0.334194910778193
AT5G11260	regulates	AT5G24590	0.330718966401141
AT3G57920	regulates	AT5G37770	0.270904130667614
AT4G17230	regulates	AT5G41740	0.50628304655466
AT4G17230	regulates	AT5G42380	0.441736246737733
AT5G11260	regulates	AT5G43170	0.8586865972957
AT4G17230	regulates	AT5G46295	0.208699964337862
AT3G57920	regulates	AT5G51190	0.390902152233531
AT5G11260	regulates	AT5G52020	0.412633807614844
AT4G17230	regulates	AT5G52510	0.762601948303632
AT3G57920	regulates	AT5G58750	0.609487787020975
AT3G57920	regulates	AT5G59820	0.298123734529289
AT4G17230	regulates	AT5G62520	0.352735048861605
AT4G17230	regulates	AT5G65300	0.401279129125553
AT5G11260	regulates	AT5G67080	0.411110493431003
AT3G57920	regulates	AT5G67300	0.288735176588825
AT1G30330	regulates	AT1G04990	0.300141292934543
AT1G30330	regulates	AT1G06002	0.248431505229585
AT1G30330	regulates	AT1G07150	0.284141626050525
AT1G04990	regulates	AT1G07620	0.168588537978868
AT1G30330	regulates	AT1G07690	0.292784789647959
AT1G30330	regulates	AT1G09540	0.265864236189183
AT1G04990	regulates	AT1G12240	0.413357071001685
AT1G04990	regulates	AT1G13110	0.174338784275473
AT1G04990	regulates	AT1G13930	0.86302297274988
AT2G36080	regulates	AT1G15100	0.837419318033703
AT2G36080	regulates	AT1G15640	0.279437691608889
AT2G36080	regulates	AT1G18830	0.358847009254739
AT1G30330	regulates	AT1G19220	0.674928577703516
AT1G30330	regulates	AT1G22570	0.195719818405065
AT1G04990	regulates	AT1G22810	0.937540129372678
AT1G04990	regulates	AT1G26960	0.324708405748348
AT1G30330	regulates	AT1G29640	0.137813212649148
AT1G30330	regulates	AT1G30040	0.143375408067666
AT1G30330	regulates	AT1G30330	0.68824404679495
AT1G30330	regulates	AT1G31350	0.141136166802672
AT1G30330	regulates	AT1G32690	0.489260503940889
AT2G36080	regulates	AT1G43160	0.298474371076438
AT1G04990	regulates	AT1G44020	0.421874842383405
AT1G30330	regulates	AT1G45249	0.144777293282116
AT1G30330	regulates	AT1G48500	0.48600731663151
AT1G30330	regulates	AT1G51800	0.486049664518628
AT1G04990	regulates	AT1G51820	0.38142763762346
AT1G30330	regulates	AT1G59640	0.451836723563475
AT2G36080	regulates	AT1G61890	0.264348768545867
AT1G30330	regulates	AT1G64405	0.274690281315009
