,original_rf_10000,threshold_rf_10000,threshold_gbt_10000,original_rf_1000,threshold_rf_1000,threshold_gbt_1000,original_rf_100,threshold_rf_100,threshold_gbt_100
AT1G58100-AT3G60490,0.0,0.0,0.0,0.0,0.4036642261848281,0.0,0.34434093731726,0.4210526315789474,0.0
AT1G51140-AT2G46340,0.0,0.0,0.0,0.0,0.3420676330685889,0.0,0.0,0.4736842105263157,0.3322655935437028
AT1G51140-AT4G24415,0.55634996554921,0.0,0.3621313797806667,0.517134577625861,0.0,0.3526937803505142,0.441137524535981,0.0,0.0
AT1G01260-AT1G68520,0.0,0.35483199525209,0.0,0.0,0.3420676330685889,0.0,0.472721611696898,0.0,0.0
AT2G28450-AT2G41240,0.0,0.0,0.0,0.348373181895706,0.0,0.0,0.0,0.0,0.0
AT1G58100-AT5G67430,0.0,0.0,0.0,0.0,0.0,0.0,0.472721611696898,0.0,0.0
AT1G68640-AT1G51640,0.583883113488913,0.0,0.0,0.712235162085864,0.0,0.0,0.0,0.0,0.0
AT1G58100-AT3G11100,0.0,0.0,0.0,0.0,0.4267525614516032,0.0,0.627988952019623,0.4736842105263157,0.0
AT1G58100-AT1G33600,0.0,0.3341857529147471,0.0,0.0,0.3669452791099408,0.0,0.0,0.4210526315789474,0.0
AT2G36080-AT3G61750,0.0,0.6405744000808813,0.4873097417770708,0.0,0.6779158546268398,0.4940551059744671,0.0,0.7894736842105263,0.5159186873092824
AT1G51140-AT3G10040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.368421052631579,0.0
AT5G37020-AT1G17920,0.0,0.4765711998020505,0.0,0.0,0.5396248444239804,0.0,0.0,0.3486683979435201,0.0
AT4G36780-AT3G22840,0.0,0.4207754116171097,0.3612174920863293,0.0,0.4291393942133206,0.3477444905133599,0.781063666522044,0.4736842105263157,0.0
AT1G68640-AT3G60530,0.0,0.8949826215348048,0.7204492277567991,0.0,0.926692315040359,0.7230589778745494,0.0,0.8947368421052633,0.6802847035063452
